Player No.,Team,Player_Team_Label,Total_Games_Played,Total_MIN_Played,Avg_PTS_Per_Min,Avg_REB_Per_Min,Avg_AST_Per_Min,Avg_STL_Per_Min,Avg_BLK_Per_Min,Avg_AST_TOV_Ratio,Avg_TS_Percentage,Avg_REB_Percentage,Avg_Efficiency,Avg_WS_Simplified,Avg_VORP_Simplified
0,Black,Player 0 (Black),4,0,0.0,0.0,0.0,0.0,0.0,250.0,127.8409090909091,6.033743663469386,9.75,1.6262720327814844,0.08131360163907421
0,Grey,Player 0 (Grey),2,0,0.0,0.0,0.0,0.0,0.0,0.75,132.57575757575756,5.813953488372093,12.5,1.924506694855532,0.09622533474277661
0,White,Player 0 (White),5,0,0.0,0.0,0.0,0.0,0.0,0.2,22.727272727272727,7.635836385836386,4.8,0.6089080364080365,0.030445401820401823
1,Beige,Player 1 (Beige),5,0,0.0,0.0,0.0,0.0,0.0,0.7285714285714285,142.04545454545456,5.525236551639769,10.8,1.8012777458305524,0.09006388729152762
1,Blue,Player 1 (Blue),5,0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,68.18181818181819,2.2971491228070176,1.6,0.505503389154705,0.025275169457735253
1,Grey,Player 1 (Grey),3,0,0.0,0.0,0.0,0.0,0.0,0.7222222222222222,75.75757575757576,0.7575757575757577,9.666666666666666,1.346969696969697,0.06734848484848485
1,White,Player 1 (White),5,0,0.0,0.0,0.0,0.0,0.0,0.3,272.72727272727275,5.96943763896701,8.2,2.214448478350918,0.1107224239175459
10,Blue,Player 10 (Blue),7,0,0.0,0.0,0.0,0.0,0.0,0.3095238095238095,129.8701298701299,6.445839614041105,5.571428571428571,1.2622423285787316,0.06311211642893659
10,Grey,Player 10 (Grey),3,0,0.0,0.0,0.0,0.0,0.0,0.5,176.76767676767676,7.681465821000704,12.0,2.0992013154803852,0.10496006577401927
10,White,Player 10 (White),7,0,0.0,0.0,0.0,0.0,0.0,0.25,176.37310606060606,7.965194076871764,8.375,1.747795918456774,0.0873897959228387
11,Beige,Player 11 (Beige),8,0,0.0,0.0,0.0,0.0,0.0,125.70833333333333,248.73737373737373,4.0320850282491305,19.0,3.151751038743367,0.15758755193716836
11,White,Player 11 (White),7,0,0.0,0.0,0.0,0.0,0.0,0.32142857142857145,210.22727272727272,10.482096795710182,10.714285714285714,2.1435291286563554,0.10717645643281778
111,White,Player 111 (White),3,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,236.74242424242425,3.9808294209702653,9.333333333333334,2.125007113387395,0.10625035566936979
12,Black,Player 12 (Black),2,0,0.0,0.0,0.0,0.0,0.0,0.25,78.125,6.112676056338028,10.5,1.452850352112676,0.07264251760563381
13,Blue,Player 13 (Blue),5,0,0.0,0.0,0.0,0.0,0.0,0.9,371.16702741702744,10.713535414165666,34.6,5.337262207913469,0.26686311039567345
14,Beige,Player 14 (Beige),8,0,0.0,0.0,0.0,0.0,0.0,125.09375,63.920454545454554,4.434134227083169,3.5,0.7034705411814391,0.035173527059071966
15,Beige,Player 15 (Beige),6,0,0.0,0.0,0.0,0.0,0.0,167.88888888888889,495.2651515151515,12.898786065598445,22.5,4.752123329706955,0.23760616648534774
15,Black,Player 15 (Black),5,0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,4.289092213211932,2.2,0.2285781844264239,0.011428909221321195
15,Grey,Player 15 (Grey),2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1627906976744187,-0.5,0.05232558139534884,0.0026162790697674423
15,White,Player 15 (White),7,0,0.0,0.0,0.0,0.0,0.0,143.29761904761907,86.96660482374769,4.808559907445906,6.285714285714286,1.0752942997777861,0.0537647149888893
16,Black,Player 16 (Black),3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7026515151515156,0.6666666666666666,0.1040719696969697,0.005203598484848485
16,Blue,Player 16 (Blue),6,0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,142.04545454545453,7.330141486419129,5.666666666666667,1.2915542223667777,0.06457771111833889
17,Blue,Player 17 (Blue),2,0,0.0,0.0,0.0,0.0,0.0,499.5,0.0,3.061224489795918,2.5,0.3061224489795919,0.015306122448979595
18,Beige,Player 18 (Beige),7,0,0.0,0.0,0.0,0.0,0.0,2.9285714285714284,129.87012987012986,5.718984813719159,13.714285714285714,2.032217190406659,0.10161085952033297
2,Beige,Player 2 (Beige),6,0,0.0,0.0,0.0,0.0,0.0,333.1666666666667,0.0,0.5594343000358039,1.1666666666666667,0.1177855352667383,0.005889276763336914
20,Blue,Player 20 (Blue),7,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,97.40259740259741,8.30581292667443,7.857142857142857,1.2893388985806216,0.06446694492903109
21,Beige,Player 21 (Beige),6,0,0.0,0.0,0.0,0.0,0.0,167.95833333333334,151.5151515151515,8.28403997257818,19.5,2.724143837520914,0.1362071918760457
21,Grey,Player 21 (Grey),3,0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,75.75757575757576,4.193093727977449,5.333333333333333,0.920507399577167,0.04602536997885836
22,Beige,Player 22 (Beige),8,0,0.0,0.0,0.0,0.0,0.0,126.47916666666667,103.49025974025973,5.19718952216985,8.5,1.3778456777456385,0.06889228388728193
25,Black,Player 25 (Black),6,0,0.0,0.0,0.0,0.0,0.0,0.20555555555555557,934.2532467532468,16.550551147127315,25.833333333333332,7.287700669393821,0.36438503346969114
28,Black,Player 28 (Black),3,0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,195.70707070707067,9.057921276848878,15.0,2.496651196089051,0.12483255980445257
3,Black,Player 3 (Black),6,0,0.0,0.0,0.0,0.0,0.0,166.66666666666666,9.46969696969697,5.376732588216403,2.8333333333333335,0.341435283358251,0.01707176416791255
3,White,Player 3 (White),3,0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,350.3787878787878,12.824916981564181,18.666666666666668,3.644210440023734,0.18221052200118673
30,Blue,Player 30 (Blue),6,0,0.0,0.0,0.0,0.0,0.0,0.25,132.5757575757576,11.215922772617818,8.166666666666666,1.5019773000906902,0.07509886500453451
31,Blue,Player 31 (Blue),3,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.5716374269005844,0.0,0.06980994152046784,0.0034904970760233915
4,Black,Player 4 (Black),6,0,0.0,0.0,0.0,0.0,0.0,167.52777777777777,293.56060606060606,6.333026152514353,12.0,2.680469082608059,0.13402345413040295
4,Blue,Player 4 (Blue),6,0,0.0,0.0,0.0,0.0,0.0,166.67222222222222,165.71969696969697,3.919659969250858,4.0,1.2531044714536532,0.06265522357268266
4,Grey,Player 4 (Grey),1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1627906976744187,1.0,0.10232558139534884,0.005116279069767442
45,Grey,Player 45 (Grey),2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55813953488372,12.5,1.2651162790697674,0.06325581395348838
6,Grey,Player 6 (Grey),3,0,0.0,0.0,0.0,0.0,0.0,0.27777777777777773,113.63636363636364,3.8231148696264974,7.666666666666667,1.342494714587738,0.0671247357293869
6,White,Player 6 (White),3,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,113.63636363636363,2.129443326626425,3.6666666666666665,0.9391073715017377,0.04695536857508689
7,Black,Player 7 (Black),6,0,0.0,0.0,0.0,0.0,0.0,166.98611111111111,700.9488827670644,12.925022868916493,20.666666666666668,5.597261126239823,0.2798630563119911
8,Grey,Player 8 (Grey),2,0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,700.7575757575758,2.272727272727273,17.0,5.208333333333333,0.2604166666666667
8,White,Player 8 (White),7,0,0.0,0.0,0.0,0.0,0.0,0.4523809523809524,190.74675324675326,2.8269625695645226,4.857142857142857,1.445101977087181,0.07225509885435906
9,White,Player 9 (White),5,0,0.0,0.0,0.0,0.0,0.0,0.5,193.1818181818182,7.782660279654439,9.8,1.9614744114684002,0.09807372057342
